ISO3,COUNTRY,ADM_NAME,year,month,spei_03,data_status,lat_wgs84,lon_wgs84
ETH,Ethiopia,Agew Awi,2005,1,-0.3088963065784419,original,1237966.7252032289,237630.7306528011
ETH,Ethiopia,Alaba,2005,1,0.3884690452928412,original,819281.7111043445,413070.2957213864
ETH,Ethiopia,Arsi,2005,1,0.2568740379527283,original,877645.5697772538,574724.9062585309
ETH,Ethiopia,Bale,2005,1,-0.2941490590154937,original,747946.3065913733,681361.231348667
ETH,Ethiopia,Bench Maji,2005,1,0.6902945982743947,original,701473.8482259716,114196.96727000308
ETH,Ethiopia,Borena,2005,1,0.0129292081087224,original,515172.1606803286,418016.61866877874
ETH,Ethiopia,Debub Gondar,2005,1,0.2228693679760979,original,1298625.058155536,403618.6083826701
ETH,Ethiopia,Debub Mirab Shewa,2005,1,-0.0509767724375287,original,951583.702996164,413642.13798491366
ETH,Ethiopia,Debub Omo,2005,1,0.2457570972006582,original,594506.2145672034,208934.4131032283
ETH,Ethiopia,Debub Wollo,2005,1,-0.0214714501892294,original,1211322.3946568086,521174.620529377
ETH,Ethiopia,Debubawi,2005,1,0.3652244740024915,original,1431751.9084497697,553121.0303109066
ETH,Ethiopia,Fafan,2005,1,-0.9832124578458478,original,1032469.6618888458,952209.2310375178
ETH,Ethiopia,Gamo Gofa,2005,1,-0.0548747970747786,original,691442.4764312886,300949.4333249477
ETH,Ethiopia,Guji,2005,1,-0.1090819801569362,original,617143.6581352132,515541.0155111069
ETH,Ethiopia,Gurage,2005,1,0.3295900107782032,original,900983.5306617755,398032.32849572034
ETH,Ethiopia,Hadiya,2005,1,0.3836514391248522,original,830355.5261159564,362049.58761804504
ETH,Ethiopia,Horo Guduru,2005,1,0.0165549273469618,original,1073842.1136536016,303139.1779347765
ETH,Ethiopia,Ilubabor,2005,1,0.3261021083999967,original,923454.0637086349,147288.1625894781
ETH,Ethiopia,Jimma,2005,1,0.27968906280543,original,875746.526436117,259839.3932920487
ETH,Ethiopia,Keffa,2005,1,0.5979518750838213,original,799856.0187669549,177107.59706387814
ETH,Ethiopia,Kelem Wellega,2005,1,0.0513339594937861,original,975242.8784768393,35649.15365851755
ETH,Ethiopia,Mehakelegnaw,2005,1,0.5564117683128661,original,1540791.2187320353,491809.79678931914
ETH,Ethiopia,Mirab Arsi,2005,1,0.3912333724033977,original,779934.148437699,497832.64267631114
ETH,Ethiopia,Mirab Gojjam,2005,1,-0.2025550181859395,original,1244606.9300988333,305658.1265369256
ETH,Ethiopia,Mirab Hararghe,2005,1,-0.0428018380974729,original,959821.8674397503,695425.1512868485
ETH,Ethiopia,Mirab Shewa,2005,1,0.161938949873355,original,1012787.6426533792,374720.2339558294
ETH,Ethiopia,Mirab Welega,2005,1,-0.2250001307998308,original,1032697.9544891039,93189.34631555267
ETH,Ethiopia,Misraq Gojjam,2005,1,0.1374158842314263,original,1162307.4901609693,382504.35478102614
ETH,Ethiopia,Misraq Harerge,2005,1,-0.5544095478578182,original,977116.6510985142,830176.1323061767
ETH,Ethiopia,Misraq Shewa,2005,1,0.0928452425051164,original,941809.9861702574,516513.8849465026
ETH,Ethiopia,Misraq Wellega,2005,1,0.0218300995008796,original,1039747.3867830498,238185.46961815926
ETH,Ethiopia,Misraqawi,2005,1,0.4815014354679564,original,1557122.5327505618,561161.672201031
